项目编码,项目名称,合同金额,项目采购成本,盈利（元）
ISS24123-XA07,西安高新区环普产业园A2幢7层MAG华为荣耀场地配线间机房空调维修改造项目," ¥ 7,563.50 ","¥8,123.45",-¥559.95
ISS24124-HZ07,杭州慧港科技园A1栋5层6层MAG消费者场地窗帘改造项目," ¥ 7,325.86 ","¥6,812.17",¥513.69
ISS24125-HZ07,杭州慧港科技园A1栋5层6层MAG消费者场地门禁系统改造项目," ¥ 60,337.81 ","¥65,108.62","-¥4,770.81"
ISS24126-CS07,长沙岳麓区芯城科技园2栋24层MAG门禁系统升级改造项目," ¥ 44,832.59 ","¥47,188.19","-¥2,355.60"
ISS24127-XA07,西安高新腾飞科汇城11层MAG华为BPIT绿区ODC过渡场地改百度业务ODC场地项目," ¥ 104,777.10 ","¥118,104.68","-¥13,327.58"
ISS24128-CQ08,重庆两江新区互联网产业园二期6号楼11-12层DOS场地改造项目," ¥ 130,405.07 ","¥135,004.10","-¥4,599.03"
ISS24129-XA08,西安灞桥区前海人寿大厦13-14层BANK中行业务ODC场地新增无线AP改造项目," ¥ 24,227.68 ","¥27,264.42","-¥3,036.74"
ISS24130-ZZ08,郑州金水区西亚斯园区11号楼5层INT场地改造项目," ¥ 240,982.52 ","¥256,466.05","-¥15,483.53"
ISS24131-BJ08,北京海淀软通总部大楼1层人形机器人实验室改造项目," ¥ 54,392.41 ","¥50,100.26","¥4,292.15"
ISS24132-BJ08,北京海淀软通总部大楼5层高管区域楼梯地砖维修改造项目,,,¥0.00
ISS24133-NJ08,南京江宁德融科创中心3#4#楼1层及4-12层综合场地新建项目,,,¥0.00
ISS24134-DG08,东莞松山湖光大We谷A2栋4层MAG华为BPIT绿区电箱电缆更换改造项目," ¥ 12,213.14 ","¥13,207.64",-¥994.50
ISS24135-WH08,武汉东湖高新区未来科技城C2栋10层MAG会议室网络电路改造项目," ¥ 20,811.64 ","¥19,402.12","¥1,409.52"
ISS24136-NJ08,南京雨花区怡化中心B栋4层MAG华为职能开放区改黄区TC项目,,,¥0.00
ISS24137-SZ08,深圳南山科兴科学园C3栋14层INT腾讯业务ODC场地新建项目,,,¥0.00
ISS24138-SH08,上海浦东新区金闽园9号楼3层MAG场地门禁系统升级改造项目,,,¥0.00
ISS24139-WH08,武汉东湖高新区未来科技城B2栋9层MAG消费者软工新建项目,,,¥0.00
ISS24140-GZ08,广州黄埔广纳院本部园区1栋16层综合场地新建项目,,,¥0.00
ISS24141-SH08,上海浦东新区金闽园9号楼3层MAG开放区改黄区项目,,,¥0.00
ISS24142-CD09,成都郫都区万科菁蓉都会战略交付基地一期9层新建项目," ¥ 2,894,182.43 ","¥2,707,825.52","¥186,356.91"
ISS24143-WX09,无锡新吴国家软件园天鹅座C栋27层鸿蒙业务场地退租优化项目,,,¥0.00
ISS24144-JN09,济南历下玉兰广场4层5层10层12层综合场地退租项目,,,¥0.00
ISS24145-GZ09,广州荔湾美银中心1111室TTR业务专属场地退租项目,,,¥0.00
ISS24146-XA09,西安高新区环普产业园E幢2层4层MAG华为ICTT终端业务场地改造项目,,,¥0.00
ISS24147-SZ09,苏州虎丘区太湖云谷2栋3层TTR场地局部退租项目,,,¥0.00
ISS24148-XA09,西安高新腾飞科汇城11层MAG华为BPIT绿区ODC过渡场地退租拆除项目,,,¥0.00
ISS24149-SZ09,深圳福田新浩E都4层6层MAG荣耀场地机房空调管道漏水5层天花修复项目," ¥ 24,823.69 ","¥25,145.27",-¥321.58
ISS24150-CD09,成都郫都区万科菁蓉都会战略交付基地一期1层公区新建项目,,,¥0.00
ISS24151-HF09,合肥软通2024系列小改造,,,¥0.00
ISS24152-CD09,成都郫都区雷斯特1-3层MAG场地TC转PC网络及电力系统升级改造项目,,,¥0.00
ISS24153-DL09,大连高新区数码广场11号楼4层TTR场地改造项目,,,¥0.00
ISS24154-CD09,成都武侯区西部智谷3层TTR场地空间改造项目,,,¥0.00
ISS24155-GZ09,广州天河华天时代2层综合场地退租项目,,,¥0.00
ISS24156-NJ09,南京江宁天域互联D1栋5层MAG华为原黄改蓝区域改回PC黄区项目,,,¥0.00
ISS24157-XA09,西安高新区环普产业园G4栋5层MAG华为业务线云服务及GTS新建项目,,,¥0.00
ISS24158-ZZ09,郑州高新技术开发区电子商务产业园6号楼5层MAG新建场地 ,,,¥0.00
ISS24159-DG09,东莞松山湖中集智谷28栋4层MAG新凯来业务ODC场地退租项目," ¥ 15,754.55 ","¥15,250.78",¥503.77
ISS24160-CD09,成都武侯区西部智谷5层DOS场地机房改造项目,,,¥0.00
ISS24161-CQ09,重庆两江营销中心设计项目,,,¥0.00
ISS24162-BJ09,北京通州区东方华睿高新技术产业基地室外LOGO改造项目,,,¥0.00
ISS24163-CD09,成都郫都区雷斯特场地1-3层MAG门禁升级改造项目,,,¥0.00
ISS24164-SZ09,深圳龙岗金荣达5栋3层MAG华为BPIT汽车业务专属场地改造项目,,,¥0.00
ISS24165-GZ10,广州天河华天时代2层综合场地退租项目,,,¥0.00
编号缺失,深圳龙岗金荣达2栋1层MAG华为综合业务ODC绿区会议室弱电点位改造项目,,,¥0.00
